Product Category,,,,,,Product Subcategories,
Name,Value,,,,,Name,value
,,,,,,,
Shop,1,,,,,Chains,2
Feature Collections,2,,,,,Necklaces,4
BRILLIANT GIFTS,3,,,,,Pendants,5
,,,,,,Medals,6
,,,,,,Crosses,7
,,,,,,Rosaries,8
,,,,,,Earrings,9
,,,,,,Children,10
,,,,,,Bracelets,11
,,,,,,Rings,12
,,,,,,VASKIA ESSENTIALS,16
,,,,,,BEST SELLERS,17
,,,,,,NEW ARRIVALS,18
,,,,,,MOTHER OF PEARLS (All pearly pieces),19
,,,,,,FAITHFUL (Religious pieces),20
,,,,,,QUEEN OF HEARTS (Heart-shaped pieces),21
,,,,,,MONOGRAM LIFE (Initials),22
,,,,,,HUGGIES (Hoop earrings),23
,,,,,,CHARMING (Charms),24
,,,,,,BABY TALK (Baby jewelry),25
,,,,,,"WEDDING VOWS (Wedding bands, possible engagement rings)",26
,,,,,,"TIMELESS (Classic pieces, Vaskia Essentials with a diff",27
,,,,,,Inicial Necklace,39
,,,,,,Gift cards ,28
,,,,,,Love notes ,29
,,,,,,It’s a girl! ,30
,,,,,,"No wait, it’s a boy! ",31
,,,,,,Sacred occasions ,32
,,,,,,Tokens of friendship ,33
,,,,,,Under $250 ,34
,,,,,,Under $400 ,35
